Label	ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
CC for El Nino anal swab	CC	GO:0016324	apical plasma membrane	120	0.37262148333669	2.01193678269082	0.00000927439434549985	0.000930196686922972	0.000554623060781846	987	tags=45%, list=25%, signal=35%	CEACAM5/SLC26A2/SLC26A3/ATP1A1/CEACAM6/ERBB3/SLC44A4/ATP8B1/EZR/MUC17/NEDD4L/ITLN1/CTSB/SCNN1A/CLIC5/MUC20/SLC6A8/PATJ/LIMA1/CDHR2/MUC13/CEACAM7/SLC17A4/SLC26A6/GNAS/SLC22A5/DLG1/ATP6V0D1/SLC38A1/ATP1B1/CFTR/STXBP2/BLTP1/SHROOM3/PTPRH/PDE4D/IQGAP1/CYP4F12/EPCAM/SLC60A2/CEACAM1/SLC20A2/CDHR5/SHROOM1/ERBB2/AKR1A1/SLC39A14/SLC17A5/LMO7/ABCC1/PFKM/SLC9A1/STX3/GNA13	0.593325476396405
CC for El Nino anal swab	CC	GO:1990351	transporter complex	99	0.391255379008855	2.01667528615758	0.0000178668700061001	0.00154195243238691	0.00091937800860095	678	tags=38%, list=17%, signal=33%	MT-CO1/BEST1/ATP1A1/MT-ND5/MT-ATP6/MT-ND1/MT-ND4/ATP10B/MT-CO2/AKAP9/MT-ATP8/ATP8B1/CTTN/ATP5F1B/ATP8A1/SCNN1A/CLIC5/MT-ND4L/SLC26A6/CLIC1/MT-CO3/ATP6V0D1/MT-CYB/TPCN1/ATP5MC2/CHP1/ATP1B1/CFTR/PKD1/TRPM4/MT-ND2/ABCB8/DLG3/PDE4D/MT-ND3/KCNK5/COX4I1/VAMP2	0.575610261071129
CC for El Nino anal swab	CC	GO:0005764	lysosome	276	0.275371244618339	1.66677450371277	0.000045248663537101	0.00316826019596569	0.00188905227458125	656	tags=26%, list=16%, signal=24%	AHNAK/PIGR/FTH1/CDH1/TSPAN1/LRP1/B2M/EEF1A1/ATP10B/CEACAM6/PLAC8/PYGB/TMBIM1/SQSTM1/SORL1/GNB1/DNAJC5/ATP8A1/FLCN/CTSD/CTSB/HLA-DRA/DYNC1H1/TFRC/VPS13A/ABCA5/PSEN1/VAMP8/ARRB1/ATP6V0D1/HEBP2/PLEKHM1/LGMN/TPCN1/ANPEP/CAPN1/CPNE1/ANXA11/CFTR/CLTC/UBE2A/AP3D1/VPS39/LRBA/CTSS/P2RX4/STXBP2/ITM2C/VOPP1/TXNDC5/TMEM45B/RNF152/CLN3/VLDLR/FTL/SZT2/ECE1/HSPG2/SLC30A10/CAPN2/GNB2/MROH1/VPS13B/HLA-F/NCF4/SRC/PADI2/HLA-DRB1/CALR/MYO6/PLD3/PIP4P1/AP1G1	0.557332238758646
CC for El Nino anal swab	CC	GO:1902495	transmembrane transporter complex	90	0.379510270284377	1.94555498469536	0.0000655571352162685	0.00412227208884506	0.00245787498002576	961	tags=46%, list=24%, signal=35%	MT-CO1/BEST1/ATP1A1/MT-ND5/MT-ATP6/MT-ND1/MT-ND4/MT-CO2/AKAP9/MT-ATP8/CTTN/ATP5F1B/SCNN1A/CLIC5/MT-ND4L/SLC26A6/CLIC1/MT-CO3/ATP6V0D1/MT-CYB/TPCN1/ATP5MC2/ATP1B1/CFTR/PKD1/TRPM4/MT-ND2/ABCB8/DLG3/PDE4D/MT-ND3/KCNK5/COX4I1/VAMP2/COX6B1/MFSD8/CALM1/ASPH/ATP6V0A1/EPS8/SLC9A1	0.538434096309916
CC for El Nino anal swab	CC	GO:0098803	respiratory chain complex	29	0.553337822245426	2.21755482817896	0.000139611814674406	0.00639628943526817	0.00381374140986248	745	tags=59%, list=19%, signal=48%	MT-CO1/MT-ND5/MT-ATP6/MT-ND1/MT-ND4/MT-CO2/MT-ATP8/ATP5F1B/MT-ND4L/MT-CO3/MT-CYB/SDHA/ATP5MC2/MT-ND2/MT-ND3/COX4I1/COX6B1	0.518848077743792
CC for El Nino anal swab	CC	GO:0000139	Golgi membrane	245	0.274452176548273	1.65960812047084	0.000152077668695808	0.00665868607177205	0.00397019351050159	1121	tags=38%, list=28%, signal=29%	CDH1/HLA-B/B2M/DNM2/HLA-A/HLA-C/B3GALT5/TMBIM1/COPA/SORL1/PCSK5/PCSK7/HLA-DRA/IGF2R/CDC42/GOLGA3/PLCE1/ABCA5/SLC35A3/PSEN1/HUWE1/ARRB1/QSOX1/STX16/TBC1D20/MYO18A/AGPAT3/CHP1/AP3D1/TMED10/POMGNT1/FZD5/CLN3/PKD1/MGAT4A/SLC35D1/HLA-E/MBTPS1/GBF1/SLC30A10/CYTH1/GALNT5/RAB1B/SLC35E2B/VPS13B/LDLRAD4/EGFR/GOLGA4/HLA-F/KDELR2/TMEM87B/HLA-DRB1/ARF3/GOLGB1/SGCE/B4GALT5/COG1/PLD3/ATG9A/AP1G1/DHCR24/KRAS/CYTH2/ARFGEF1/CLSTN1/CLCN3/GBP3/SURF4/GCNT3/ATP2C2/GNPTAB/KIAA0319L/NAPEPLD/ROCK1/TMF1/ARHGAP21/GBP1/ARFGEF2/CHST5/PGAP2/SMPD3/GALNT12/SLC30A7/COPG1/ENTPD6/MFNG/MGAT5/LITAF/PJA2/DOP1B/CNIH1/COG5/TMED2	0.518848077743792
CC for El Nino anal swab	CC	GO:0009986	cell surface	200	0.290973521055575	1.70739017531974	0.000162372964513339	0.00684734171942045	0.00408267807876925	750	tags=32%, list=19%, signal=27%	CEACAM5/HLA-B/B2M/HLA-A/HNRNPU/HLA-C/MYH9/CEACAM6/NEO1/SORL1/MUC17/ATP5F1B/ITGA3/CTSB/HLA-DRA/IGF2R/SCNN1A/LRP4/TFRC/CEACAM7/PDGFRA/PSEN1/ITGB1/TLN1/P4HB/VEGFA/BTN3A1/SLC38A1/MYO18A/MICA/ANPEP/CFTR/LGALS3/SEPTIN2/TSPAN8/FZD5/CD24/LY75/PKD1/ANXA4/ECE1/HLA-E/CAPN2/DSG2/PLXNB2/EGFR/HLA-F/ITGAL/HLA-DRB1/CALR/LRP6/EPCAM/THBS1/PXDN/CEACAM1/CD47/ITGAV/CLSTN1/ADTRP/SLC4A4/C1QB/CLCN3/IL6ST	0.518848077743792
CC for El Nino anal swab	CC	GO:0030027	lamellipodium	84	0.382543119815924	1.94602895815039	0.000178443581952946	0.00727696849041079	0.00433883994009419	1079	tags=44%, list=27%, signal=33%	ACTB/CDH1/MYLK/CTTN/LIMA1/PLCE1/CTNNB1/FGD6/GSN/ITGB1/P4HB/CFL1/ABI2/RAPH1/CAPZB/PXN/PABPC1/EVL/AKT1/ABLIM1/CARMIL1/ITGAV/PLCG1/CDC42BPB/PIEZO1/ARPC3/DOCK8/APP/ROCK1/ARPIN/CTNNA1/SLC9A1/STX3/NCKAP1/CYFIP1/CAPG/MYO9B	0.518848077743792
CC for El Nino anal swab	CC	GO:0009925	basal plasma membrane	94	0.358931488490155	1.8326087629512	0.000221597116631034	0.00874837127465711	0.00521615323019109	966	tags=45%, list=24%, signal=35%	CEACAM5/BEST1/DST/LRP1/ATP1A1/MYO1D/ERBB3/EZR/ITGA3/TFRC/MUC20/CTNNB1/SLC26A6/SLC22A5/DLG1/ERBIN/DSP/SLC38A1/CHP1/ATP1B1/CFTR/PKD1/ATP2B4/DLG3/EGFR/IQGAP1/CLDN7/EPB41/EPCAM/CEACAM1/SLC4A4/ERBB2/ATP2C2/CNNM2/CNNM4/SLC39A14/SLC17A5/ITGB4/ABCC1/SLC9A1/ST14/TJP1	0.518848077743792
CC for El Nino anal swab	CC	GO:0099512	supramolecular fiber	254	0.26925059276706	1.63171144212116	0.000266600121911988	0.010023897889432	0.00597667676799824	1080	tags=37%, list=27%, signal=29%	AHNAK/DST/ACTB/MACF1/ACTG1/DNM2/SPTBN1/FLNB/HNRNPU/DIAPH1/ALDOA/MYH9/KRT20/NDRG1/SQSTM1/TPM4/EZR/CTTN/DYNC1H1/NUMA1/LIMA1/KIF13B/CTNNB1/KRT8/PPP1R12B/SPECC1/ACTN4/DLG1/PAFAH1B1/TTLL3/CSNK1D/PNN/INF2/DSP/KANSL3/TTLL6/MYO18A/CLTC/MARK2/ABI2/CAPZB/TPT1/CDK5RAP3/NDEL1/HSPG2/KRT19/BCAS3/SHROOM3/MYH14/ATP2B4/JUP/TUBA1B/PPP1R12A/SRC/STIM1/VIM/SLMAP/IQGAP1/CARMIL1/FBXO32/HLA-DRB1/MYO6/PAWR/PLS1/GABARAPL1/FHDC1/TUBA4A/JAKMIP1/EIF3A/SHROOM1/PLEC/CKAP5/CAB39/EFHC1/KANSL1/DYRK1A/CALM1/SVIL/SYNE1/REEP3/POF1B/DDX6/KRT5/YES1/ARFGEF2/NCKAP1/HOOK2/KLC4/ARHGAP18/DYNLL2/RASSF3/FHL2/MYO9B/NRAP	0.49849310876659
